area_type,availability,location,bhk,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Koramangala,3,2223.0,3.0,2.0,300.0
Built-up  Area,Ready To Move,JP Nagar,4,1500.0,2.0,0.0,87.0
Plot  Area,Ready To Move,Sarjapur  Road,4,3200.0,4.0,1.0,350.0
Plot  Area,20-Jul,Kanakpura Road,4,3170.0,4.0,3.0,250.0
Super built-up  Area,Ready To Move,Kothannur,3,1485.0,2.0,2.0,59.4
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1640.0,3.0,2.0,251.0
Super built-up  Area,Ready To Move,Hennur,3,1655.0,2.0,1.0,70.5
Super built-up  Area,Ready To Move,Hennur Road,3,1654.0,3.0,2.0,97.8
Super built-up  Area,18-Jan,Bellandur,3,1685.0,3.0,3.0,101.0
Built-up  Area,Ready To Move,Banashankari,3,1540.0,3.0,3.0,80.0
Super built-up  Area,18-Jan,Thanisandra,2,1265.0,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,1200.0,2.0,3.0,38.4
Super built-up  Area,Ready To Move,Sultan Palaya,2,1009.0,2.0,1.0,65.0
Built-up  Area,Ready To Move,Bellandur,3,1735.0,3.0,3.0,105.0
Plot  Area,Ready To Move,HSR Layout,4,2500.0,4.0,3.0,300.0
Super built-up  Area,Ready To Move,Hosakerehalli,3,2480.0,4.0,1.0,265.0
Built-up  Area,Ready To Move,Electronic City,2,1142.0,2.0,0.0,35.0
Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,1.0,48.0
Super built-up  Area,18-May,Electronic City Phase II,2,1125.0,2.0,1.0,32.49
Built-up  Area,18-Jul,Bommasandra Industrial Area,2,1125.0,2.0,1.0,32.49
Super built-up  Area,Ready To Move,Kasavanhalli,2,1575.0,2.0,3.0,85.0
Super built-up  Area,18-Dec,Hosa Road,2,1360.0,2.0,1.0,77.61
Super built-up  Area,Ready To Move,Haralur Road,3,1710.0,3.0,2.0,85.0
Super built-up  Area,18-May,Electronic City Phase II,2,1200.0,2.0,1.0,34.65
Super built-up  Area,Ready To Move,Bannerghatta Road,4,2185.0,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1012.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1130.0,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Koramangala,3,1744.0,4.0,1.0,210.0
Super built-up  Area,18-Jul,Rajaji Nagar,4,2733.0,5.0,2.0,259.0
Super built-up  Area,Ready To Move,Karuna Nagar,3,1354.0,2.0,1.0,98.0
Super built-up  Area,Ready To Move,Brookefield,2,1389.0,2.0,2.0,94.0
Plot  Area,Ready To Move,Sarjapur,4,2970.0,3.0,3.0,130.0
Super built-up  Area,Ready To Move,Cooke Town,3,2560.0,4.0,2.0,310.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,1172.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Kaggadasapura,3,1495.0,3.0,2.0,60.0
Super built-up  Area,Ready To Move,Varthur,2,1738.0,2.0,1.0,57.35
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1315.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Marathahalli,2,1270.0,2.0,3.0,73.0
Super built-up  Area,18-May,Electronic City Phase II,2,1160.0,2.0,1.0,52.2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1450.0,2.0,1.0,67.0
Built-up  Area,Ready To Move,Rayasandra,1,470.0,1.0,1.0,21.0
Super built-up  Area,Ready To Move,Sarjapur,2,1205.0,2.0,2.0,29.0
Super built-up  Area,Ready To Move,Whitefield,2,1135.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,1224.0,2.0,2.0,48.95
Built-up  Area,Ready To Move,Budigere,1,664.0,1.0,1.0,34.0
Super built-up  Area,Ready To Move,Electronic City,3,1160.0,2.0,2.0,42.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,3,1220.0,2.0,1.0,35.2
Super built-up  Area,Ready To Move,Bharathi Nagar,2,1328.0,2.0,2.0,69.0
Built-up  Area,Ready To Move,Malleshwaram,2,900.0,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Rajiv Nagar,4,2330.0,5.0,1.0,175.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,2100.0,3.0,1.0,135.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4,3335.0,4.0,3.0,290.0
Built-up  Area,18-Apr,Whitefield,3,3150.0,3.0,1.0,290.0
Plot  Area,Ready To Move,Hosur Road,4,2000.0,4.0,1.0,130.0
Super built-up  Area,18-Jun,Electronic City Phase II,2,1244.0,2.0,1.0,55.0
Super built-up  Area,18-May,Gunjur Palya,3,1400.0,3.0,2.0,45.0
Plot  Area,Ready To Move,Rajaji Nagar,2,1056.0,1.0,0.0,250.0
Super built-up  Area,19-Jun,Hebbal,4,2630.0,5.0,0.0,188.0
Super built-up  Area,19-Jun,Hebbal,4,2790.0,5.0,3.0,198.0
Super built-up  Area,Ready To Move,Indira Nagar,4,2800.0,4.0,3.0,365.0
Super built-up  Area,Ready To Move,Seegehalli,3,1683.0,3.0,3.0,80.0
Built-up  Area,Ready To Move,Yelahanka,2,1250.0,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Hennur Road,3,1305.0,2.0,1.0,110.0
Plot  Area,Ready To Move,Sarjapur  Road,3,3009.0,3.0,1.0,331.0
Super built-up  Area,Ready To Move,Kaggalipura,3,1150.0,2.0,1.0,57.5
Built-up  Area,Ready To Move,Kaggadasapura,3,1654.0,3.0,3.0,70.0
Super built-up  Area,18-May,Kadugodi,3,1890.0,4.0,3.0,125.0
Super built-up  Area,Ready To Move,Kasavanhalli,2,1069.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Chandapura,2,750.0,1.0,1.0,18.5
Built-up  Area,17-Dec,Hormavu,3,2400.0,3.0,1.0,177.0
Plot  Area,Ready To Move,Koramangala,4,1410.0,2.0,0.0,280.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1680.0,3.0,3.0,130.0
Super built-up  Area,18-Jul,Sarjapur  Road,3,1700.0,3.0,2.0,93.5
Super built-up  Area,Ready To Move,Thanisandra,3,1595.0,3.0,1.0,105.0
Super built-up  Area,15-Nov,Hennur Road,3,1480.0,3.0,2.0,100.0
Super built-up  Area,19-Sep,Koramangala,3,1866.0,4.0,2.0,245.0
Super built-up  Area,Ready To Move,Hebbal,3,3895.0,3.0,2.0,390.0
Super built-up  Area,Ready To Move,Banashankari,3,1683.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Banaswadi,2,1340.0,2.0,2.0,73.0
Plot  Area,Ready To Move,Akshaya Nagar,1,2000.0,1.0,0.0,200.0
Super built-up  Area,Ready To Move,Whitefield,2,1185.0,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Haralur Road,3,1730.0,3.0,1.0,95.0
Super built-up  Area,19-Sep,Hennur Road,3,1450.0,3.0,1.0,88.6
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1862.0,4.0,1.0,110.0
Built-up  Area,Ready To Move,Old Madras Road,3,2430.0,5.0,2.0,180.0
Super built-up  Area,20-Sep,Hoodi,1,863.0,1.0,0.0,40.55
Super built-up  Area,17-Jun,Sarjapur,2,850.0,2.0,2.0,32.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,4,1905.0,3.0,2.0,86.0
Built-up  Area,Ready To Move,Chikkabanavar,4,1500.0,4.0,1.0,105.0
Built-up  Area,Ready To Move,Bannerghatta Road,3,1725.0,3.0,3.0,85.0
Super built-up  Area,Ready To Move,Brookefield,3,1750.0,2.0,2.0,75.0
Super built-up  Area,18-Jul,7th Phase JP Nagar,3,2000.0,3.0,2.0,77.0
Built-up  Area,Ready To Move,Koramangala,3,1745.0,3.0,3.0,98.0
Super built-up  Area,Ready To Move,Uttarahalli,3,1270.0,2.0,2.0,55.25
Super built-up  Area,Ready To Move,Iblur Village,5,5384.0,5.0,3.0,420.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2,1180.0,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Ardendale,3,1723.0,3.0,2.0,95.0
Built-up  Area,Ready To Move,Mysore Road,2,1175.0,2.0,2.0,70.5
Super built-up  Area,Ready To Move,Ambalipura,3,1607.0,2.0,2.0,112.0
Super built-up  Area,19-Dec,Bannerghatta,2,1113.0,2.0,1.0,70.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,3,1300.0,2.0,2.0,58.0
Plot  Area,Ready To Move,Judicial Layout,4,2400.0,4.0,2.0,350.0
Built-up  Area,Ready To Move,Sahakara Nagar,2,1200.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Jakkur,4,5150.0,4.0,3.0,559.0
Super built-up  Area,18-Dec,Whitefield,4,2956.0,5.0,2.0,234.0
Super built-up  Area,18-May,Panathur,2,1398.0,2.0,1.0,97.0
Plot  Area,Ready To Move,Margondanahalli,2,1152.0,1.0,0.0,66.0
Super built-up  Area,Ready To Move,Nagavara,2,1110.0,2.0,2.0,44.95
Built-up  Area,Ready To Move,Devarachikkanahalli,2,1116.0,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Babusapalaya,2,1061.0,2.0,1.0,33.84
Super built-up  Area,Ready To Move,Malleshwaram,1,620.0,1.0,1.0,86.8
Built-up  Area,Ready To Move,Yelahanka,2,1270.0,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Iblur Village,4,3596.0,5.0,1.0,297.0
Super built-up  Area,Ready To Move,Amruthahalli,2,1202.0,2.0,1.0,65.0
Built-up  Area,Ready To Move,Jakkur,2,1300.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Electronic City,3,1360.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Hennur Road,2,1155.0,2.0,1.0,69.18
Super built-up  Area,Ready To Move,Hosakerehalli,3,2378.0,3.0,1.0,310.0
Super built-up  Area,Ready To Move,Hulimavu,2,1011.0,2.0,2.0,38.0
Built-up  Area,Ready To Move,HSR Layout,2,1203.0,2.0,2.0,72.0
Super built-up  Area,19-Dec,Hebbal,3,1645.0,3.0,2.0,113.0
Super built-up  Area,Ready To Move,Horamavu Agara,3,1364.0,2.0,3.0,50.0
Super built-up  Area,Ready To Move,Kothanur,3,1365.0,3.0,3.0,66.0
Super built-up  Area,Ready To Move,Jigani,3,1252.0,3.0,3.0,70.0
Built-up  Area,Ready To Move,Panathur,2,1065.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Uttarahalli,3,1270.0,2.0,1.0,55.25
Built-up  Area,Ready To Move,Sahakara Nagar,2,1032.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Frazer Town,4,2900.0,4.0,2.0,325.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3,1515.0,2.0,3.0,69.0
Super built-up  Area,Ready To Move,Magadi Road,2,940.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1460.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,2275.0,4.0,2.0,175.0
Super built-up  Area,21-Sep,9th Phase JP Nagar,3,1522.0,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Thanisandra,2,1185.0,2.0,2.0,42.67
Built-up  Area,Ready To Move,Banashankari,3,1800.0,3.0,2.0,125.0
Super built-up  Area,17-May,Electronics City Phase 1,2,940.0,2.0,1.0,44.0
Super built-up  Area,Ready To Move,Marathahalli,3,1530.0,3.0,2.0,71.0
Super built-up  Area,Ready To Move,Subramanyapura,2,929.0,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Whitefield,3,1530.0,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Ambalipura,1,770.0,1.0,2.0,43.82
Built-up  Area,Ready To Move,Kaval Byrasandra,2,1066.0,2.0,3.0,55.0
Super built-up  Area,Ready To Move,Electronic City,1,635.0,1.0,0.0,28.0
Super built-up  Area,Ready To Move,Whitefield,2,1015.0,2.0,1.0,45.0
Built-up  Area,Ready To Move,Hebbal,2,1175.0,2.0,0.0,54.05
Super built-up  Area,18-May,Vidyaranyapura,2,1188.0,2.0,1.0,50.0
Plot  Area,Ready To Move,Indira Nagar,5,2400.0,5.0,2.0,700.0
Plot  Area,18-Apr,Attibele,3,1000.0,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1500.0,2.0,2.0,99.0
Super built-up  Area,Ready To Move,Thanisandra,2,1185.0,2.0,2.0,43.66
Built-up  Area,Ready To Move,Basavangudi,3,1600.0,3.0,3.0,130.0
Super built-up  Area,Ready To Move,Yelahanka,2,1300.0,2.0,2.0,69.23
Super built-up  Area,Ready To Move,Kasavanhalli,2,1100.0,2.0,1.0,68.0
Super built-up  Area,19-Apr,Ambalipura,2,860.0,2.0,1.0,28.93
Super built-up  Area,18-Jun,Panathur,2,1007.0,2.0,1.0,64.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1100.0,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Whitefield,2,1187.0,2.0,1.0,38.0
Super built-up  Area,Ready To Move,R.T. Nagar,2,1150.0,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Nagavara,3,2400.0,3.0,2.0,252.0
Super built-up  Area,Ready To Move,Budigere,3,1820.0,3.0,2.0,85.2
Super built-up  Area,Ready To Move,KR Puram,4,3628.0,4.0,1.0,246.0
Super built-up  Area,21-Jan,Kanakpura Road,2,700.0,2.0,1.0,40.0
Super built-up  Area,20-Dec,Old Madras Road,2,1165.0,2.0,1.0,40.77
Super built-up  Area,Ready To Move,Jalahalli,3,1569.0,3.0,2.0,118.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3,2437.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Marathahalli,2,950.0,2.0,2.0,46.7
Built-up  Area,18-Jul,Bellandur,3,1685.0,3.0,3.0,115.0
Super built-up  Area,Ready To Move,Green Glen Layout,4,3270.0,4.0,3.0,205.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1314.0,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Whitefield,3,2247.0,3.0,2.0,145.0
Super built-up  Area,Ready To Move,Marathahalli,3,1550.0,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Hoodi,3,1715.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Hennur Road,2,1053.0,2.0,1.0,53.0
Plot  Area,Ready To Move,Begur Road,3,1200.0,3.0,0.0,50.0
Plot  Area,Ready To Move,HBR Layout,3,1800.0,2.0,1.0,230.0
Built-up  Area,Ready To Move,Chikkabanavar,5,2400.0,4.0,0.0,97.0
Plot  Area,Ready To Move,Whitefield,4,3940.0,5.0,3.0,265.0
Built-up  Area,Ready To Move,Thanisandra,3,1241.0,2.0,1.0,65.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,2980.0,4.0,2.0,260.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1090.0,2.0,2.0,57.0
Super built-up  Area,21-Dec,Kanakpura Road,3,1100.0,2.0,1.0,52.97
Built-up  Area,Ready To Move,Koramangala,2,1350.0,2.0,2.0,103.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1787.0,3.0,2.0,116.0
Built-up  Area,Ready To Move,BTM Layout,3,2400.0,3.0,2.0,220.0
Super built-up  Area,Ready To Move,Haralur Road,4,3700.0,4.0,2.0,325.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1691.0,3.0,2.0,93.01
Plot  Area,18-Mar,Chikka Tirupathi,3,2325.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3,1896.0,3.0,2.0,102.0
Super built-up  Area,Ready To Move,Hormavu,3,1365.0,2.0,2.0,65.0
Super built-up  Area,18-May,Thanisandra,1,580.0,1.0,1.0,27.5
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,1513.0,2.0,3.0,62.0
Super built-up  Area,Ready To Move,Banashankari,2,1175.0,2.0,1.0,41.13
Super built-up  Area,17-Jan,Thanisandra,3,2087.0,4.0,2.0,139.0
Super built-up  Area,21-Dec,Talaghattapura,3,2273.0,3.0,2.0,145.0
Super built-up  Area,19-May,Thanisandra,3,2050.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Whitefield,2,1190.0,2.0,3.0,59.0
Super built-up  Area,18-Apr,Marathahalli,2,1019.0,2.0,2.0,49.86
Super built-up  Area,Ready To Move,Thigalarapalya,3,1830.0,3.0,2.0,133.0
Plot  Area,Ready To Move,Channasandra,7,4278.0,7.0,1.0,299.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1028.0,2.0,1.0,56.0
Built-up  Area,Ready To Move,Old Madras Road,2,1300.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Whitefield,2,1160.0,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Mahadevpura,3,1505.0,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Sarjapur,2,1175.0,2.0,1.0,41.68
Super built-up  Area,18-May,Devanahalli,2,1230.0,2.0,1.0,56.45
Super built-up  Area,18-Jun,Old Madras Road,5,5020.0,7.0,0.0,287.0
Super built-up  Area,Ready To Move,Banashankari,3,1750.0,2.0,2.0,89.0
Super built-up  Area,Ready To Move,Banashankari Stage II,2,1400.0,2.0,1.0,100.0
Built-up  Area,Ready To Move,Nagarbhavi,3,1350.0,3.0,0.0,60.0
Super built-up  Area,21-Dec,Thanisandra,2,1340.0,2.0,1.0,66.33
Built-up  Area,Ready To Move,Malleshwaram,2,600.0,1.0,0.0,68.0
Super built-up  Area,Ready To Move,Hulimavu,2,1276.0,2.0,2.0,76.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3,1738.0,2.0,3.0,76.0
Super built-up  Area,18-Apr,Electronic City,2,1128.0,2.0,1.0,65.45
Super built-up  Area,Ready To Move,Kudlu,2,1084.0,2.0,1.0,53.0
Built-up  Area,Ready To Move,Kaggadasapura,4,2150.0,4.0,2.0,90.0
Built-up  Area,Ready To Move,Koramangala,4,6000.0,4.0,0.0,625.0
Super built-up  Area,Ready To Move,Hosur Road,2,1250.0,2.0,2.0,65.0
Plot  Area,Ready To Move,Seegehalli,3,2400.0,4.0,1.0,240.0
Super built-up  Area,Ready To Move,Begur,3,1304.0,3.0,0.0,65.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1640.0,3.0,2.0,268.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,980.0,2.0,1.0,77.44
Plot  Area,Ready To Move,Anekal,3,2400.0,4.0,0.0,95.0
Super built-up  Area,18-May,Kanakpura Road,3,1450.0,2.0,2.0,70.18
Super built-up  Area,Ready To Move,Electronic City,2,890.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1340.0,2.0,3.0,85.0
Super built-up  Area,Ready To Move,Vidyaranyapura,3,1100.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Kengeri,2,750.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1300.0,2.0,2.0,66.0
Super built-up  Area,21-Dec,HRBR Layout,2,1301.0,2.0,1.0,120.0
Super built-up  Area,19-Jul,Kanakpura Road,2,1299.0,2.0,1.0,105.0
Super built-up  Area,Ready To Move,Kalkere,2,925.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Uttarahalli,2,1107.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1300.0,2.0,1.0,67.0
Built-up  Area,Ready To Move,Uttarahalli,2,1200.0,2.0,1.0,55.0
Super built-up  Area,18-Sep,Talaghattapura,2,921.0,2.0,2.0,29.47
Super built-up  Area,Ready To Move,Marathahalli,2,1144.0,2.0,2.0,65.0
Super built-up  Area,21-Jan,Kanakpura Road,1,525.0,1.0,1.0,26.01
Super built-up  Area,18-Jun,Balagere,1,661.0,1.0,1.0,33.0
Super built-up  Area,Ready To Move,Yelahanka,3,1705.0,3.0,1.0,91.0
Super built-up  Area,Ready To Move,Kadugodi,3,1430.0,2.0,0.0,55.0
Super built-up  Area,Ready To Move,Marathahalli,2,1240.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1000.0,2.0,3.0,28.0
Super built-up  Area,Ready To Move,Uttarahalli,3,1330.0,2.0,2.0,46.45
Super built-up  Area,Ready To Move,Sarjapur  Road,4,3005.0,5.0,2.0,275.0
Super built-up  Area,Ready To Move,Shivaji Nagar,3,1300.0,3.0,2.0,170.0
Super built-up  Area,18-Apr,Banashankari Stage III,3,1500.0,2.0,2.0,100.0
Built-up  Area,Ready To Move,Cox Town,2,1073.0,2.0,2.0,72.0
Built-up  Area,Ready To Move,Kudlu,2,1300.0,2.0,2.0,56.0
Plot  Area,18-May,Sarjapur,4,4201.0,4.0,3.0,435.0
Super built-up  Area,18-Apr,Whitefield,2,1216.0,2.0,1.0,66.88
Built-up  Area,Ready To Move,Jigani,3,1252.0,3.0,2.0,59.0
Super built-up  Area,19-Aug,Hormavu,2,1196.0,2.0,1.0,44.8
Built-up  Area,Ready To Move,Kudlu,2,1027.0,2.0,2.0,44.0
Super built-up  Area,16-Nov,Mico Layout,2,1171.0,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Kothannur,3,1215.0,2.0,3.0,48.6
Super built-up  Area,19-Dec,Whitefield,2,1180.0,2.0,1.0,77.0
Built-up  Area,18-Aug,Electronic City Phase II,2,1160.0,2.0,1.0,33.51
Super built-up  Area,20-Sep,Whitefield,3,2140.0,3.0,2.0,139.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3,1500.0,3.0,1.0,100.0
Super built-up  Area,Ready To Move,Banaswadi,2,1008.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1921.0,4.0,3.0,129.0
Super built-up  Area,Ready To Move,Electronic City,2,1127.0,2.0,2.0,32.0
Super built-up  Area,18-May,Rajaji Nagar,3,1621.0,3.0,1.0,124.0
Super built-up  Area,18-Aug,Whitefield,2,1314.0,2.0,1.0,84.0
Super built-up  Area,Ready To Move,Choodasandra,3,1220.0,3.0,1.0,56.0
Built-up  Area,Ready To Move,JP Nagar,3,1590.0,2.0,3.0,85.0
Super built-up  Area,Ready To Move,Shivaji Nagar,2,703.0,2.0,1.0,49.5
Super built-up  Area,18-Aug,Hosakerehalli,3,1795.0,3.0,2.0,64.62
Built-up  Area,Ready To Move,Gottigere,4,3000.0,3.0,0.0,132.0
Super built-up  Area,18-Dec,Sarjapur  Road,4,4395.0,4.0,2.0,242.0
Super built-up  Area,Ready To Move,Electronic City,2,825.0,2.0,1.0,35.0
Super built-up  Area,18-Dec,Yelahanka,4,4025.0,6.0,1.0,350.0
Built-up  Area,Ready To Move,Ramagondanahalli,3,2040.0,3.0,2.0,114.0
Super built-up  Area,Ready To Move,Malleshwaram,3,2475.0,4.0,3.0,337.0
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3,1820.0,3.0,2.0,79.5
Super built-up  Area,19-Dec,Horamavu Agara,3,1623.0,3.0,1.0,89.0
Super built-up  Area,Ready To Move,Electronic City,2,1200.0,2.0,2.0,40.5
Super built-up  Area,Ready To Move,Gottigere,3,1613.0,3.0,3.0,72.0
Super built-up  Area,Ready To Move,Hoskote,2,1065.0,2.0,2.0,28.5
Super built-up  Area,18-Apr,Kudlu Gate,2,940.0,2.0,1.0,69.57
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1181.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Malleshwaram,3,2215.0,3.0,2.0,275.0
Built-up  Area,Ready To Move,Marathahalli,1,1100.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Subramanyapura,3,1260.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Banashankari Stage II,5,2800.0,3.0,2.0,425.0
Super built-up  Area,Ready To Move,Whitefield,3,1530.0,3.0,3.0,73.0
Built-up  Area,Ready To Move,Sarjapur,3,1575.0,3.0,3.0,55.0
Plot  Area,18-Dec,Attibele,3,1200.0,3.0,2.0,105.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,945.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1691.0,3.0,2.0,100.0
Built-up  Area,18-Aug,Electronic City Phase II,3,1220.0,3.0,1.0,35.25
Built-up  Area,Ready To Move,Kengeri,1,600.0,1.0,1.0,35.0
Super built-up  Area,18-Aug,Whitefield,2,1160.0,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Vittasandra,3,1650.0,3.0,1.0,85.0
Super built-up  Area,Ready To Move,Abbigere,2,795.0,1.0,1.0,32.6
Super built-up  Area,Ready To Move,Kalyan nagar,3,2285.0,4.0,1.0,165.0
Super built-up  Area,Ready To Move,Hennur,3,1345.0,2.0,1.0,69.0
Super built-up  Area,Ready To Move,Electronic City,3,1360.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1026.0,2.0,1.0,60.55
Super built-up  Area,Ready To Move,Uttarahalli,3,1460.0,3.0,3.0,76.0
Built-up  Area,Ready To Move,Kanakpura Road,3,1843.0,3.0,2.0,85.0
Super built-up  Area,18-Aug,Ananth Nagar,2,1000.0,2.0,3.0,25.0
Super built-up  Area,Ready To Move,Koramangala,3,1642.0,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2.0,1.0,44.0
Super built-up  Area,18-Feb,Panathur,2,1210.0,2.0,1.0,77.93
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1225.0,2.0,0.0,68.0
Super built-up  Area,Ready To Move,Jakkur,2,1290.0,2.0,1.0,80.04
Super built-up  Area,Ready To Move,Kaggadasapura,2,1361.0,2.0,2.0,79.0
Plot  Area,Ready To Move,Frazer Town,5,2801.25,4.0,1.0,462.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,2,1394.0,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Yelahanka,2,870.0,2.0,1.0,27.0
Super built-up  Area,18-May,Rajaji Nagar,2,1222.0,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Bellandur,3,1846.0,3.0,2.0,135.0
Plot  Area,Ready To Move,Benson Town,2,1688.12,2.0,1.0,270.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2,1167.0,2.0,2.0,64.08
Super built-up  Area,Ready To Move,Ananth Nagar,2,902.0,2.0,2.0,25.0
Super built-up  Area,Ready To Move,Kannamangala,4,2422.0,4.0,3.0,135.0
Built-up  Area,Ready To Move,Kundalahalli,2,1260.0,2.0,0.0,58.0
Built-up  Area,Ready To Move,Banashankari Stage II,3,3000.0,3.0,2.0,450.0
Super built-up  Area,Ready To Move,Jigani,2,939.0,2.0,2.0,39.0
Plot  Area,Ready To Move,Jalahalli,1,600.0,1.0,0.0,37.0
Built-up  Area,Ready To Move,8th Phase JP Nagar,2,1298.0,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Marathahalli,3,1710.0,3.0,2.0,135.0
Super built-up  Area,Ready To Move,Subramanyapura,2,1000.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3,3350.0,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Jalahalli,1,615.0,1.0,1.0,46.0
Super built-up  Area,18-Apr,Sarjapur  Road,2,1350.0,2.0,1.0,85.0
Built-up  Area,Ready To Move,Sultan Palaya,4,5000.0,5.0,2.0,325.0
Super built-up  Area,Ready To Move,Cunningham Road,3,2700.0,3.0,1.0,501.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,1718.0,3.0,2.0,130.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1680.0,3.0,2.0,112.0
